data,num_offerta,val_offerta,stato_offerta,n_pacchi_rimasti,valore_atteso,mediana_rimasti,max_rimasto,min_rimasto,std_rimasti,n_valori_alti,ratio_offerta_va
12/02/2024,1,30000,Rifiutata,15,36785.73,1000.0,300000,1,76137.35,3,0.8155
12/02/2024,2,37000,Rifiutata,9,41784.0,10000.0,300000,1,91840.97,1,0.8855
12/02/2024,3,37000,Rifiutata,7,48722.29,1000.0,300000,1,103083.86,1,0.7594
12/02/2024,4,5000,Rifiutata,5,6211.2,50.0,30000,1,11900.48,0,0.805
13/02/2024,1,9000,Rifiutata,12,12205.0,150.0,100000,5,27746.64,1,0.7374
13/02/2024,2,10000,Rifiutata,9,14606.11,100.0,100000,10,31589.4,1,0.6846
13/02/2024,3,11000,Rifiutata,3,10400.0,1000.0,30000,200,13863.14,0,1.0577
14/02/2024,1,23000,Rifiutata,15,30796.4,500.0,300000,0,76168.69,2,0.7468
14/02/2024,2,3000,Rifiutata,9,3535.67,500.0,15000,1,5150.96,0,0.8485
15/02/2024,1,30000,Rifiutata,15,36430.4,1000.0,300000,1,76275.14,3,0.8235
15/02/2024,2,35000,Rifiutata,12,45530.0,10000.0,300000,10,82815.2,3,0.7687
15/02/2024,3,25000,Rifiutata,9,41240.0,5000.0,300000,10,92041.28,1,0.6062
15/02/2024,4,29000,Rifiutata,8,45770.0,8000.0,300000,10,96673.98,1,0.6336
15/02/2024,5,30000,Rifiutata,6,57676.67,8000.0,300000,10,108908.54,1,0.5201
15/02/2024,6,40000,Rifiutata,5,69202.0,15000.0,300000,10,115914.98,1,0.578
15/02/2024,7,40000,Accettata,4,79002.5,8000.0,300000,10,127730.6,1,0.5063
16/02/2024,1,17000,Rifiutata,12,15953.33,150.0,100000,0,29505.58,2,1.0656
16/02/2024,2,18000,Rifiutata,8,20160.62,600.0,100000,0,34185.96,2,0.8928
16/02/2024,3,6000,Rifiutata,6,10212.5,600.0,50000,0,18144.21,1,0.5875
17/02/2024,1,29000,Rifiutata,15,32779.0,1000.0,200000,0,53872.89,4,0.8847
17/02/2024,2,14500,Rifiutata,9,16296.67,500.0,100000,0,31155.58,1,0.8898
17/02/2024,3,18000,Rifiutata,6,21928.33,750.0,100000,20,36551.66,1,0.8209
17/02/2024,4,24000,Rifiutata,5,26214.0,1000.0,100000,20,38639.7,1,0.9155
17/02/2024,5,20000,Accettata,4,25267.5,525.0,100000,20,43148.63,1,0.7915
18/02/2024,1,33000,Rifiutata,15,33119.73,5000.0,200000,0,53679.63,4,0.9964
18/02/2024,2,39000,Rifiutata,9,42341.67,20000.0,200000,0,60841.92,3,0.9211
18/02/2024,3,45000,Rifiutata,8,47634.38,25000.0,200000,75,62548.72,3,0.9447
18/02/2024,4,40000,Rifiutata,5,50215.0,20000.0,200000,75,75753.91,1,0.7966
18/02/2024,5,45000,Accettata,4,55268.75,10500.0,200000,75,83938.17,1,0.8142
19/02/2024,1,30000,Rifiutata,15,32097.4,200.0,300000,1,74787.44,3,0.9347
19/02/2024,2,43000,Rifiutata,9,53467.22,15000.0,300000,5,90444.79,3,0.8042
19/02/2024,3,5000,Rifiutata,5,8241.0,1000.0,30000,5,11501.91,0,0.6067
20/02/2024,1,25000,Rifiutata,15,30779.07,500.0,300000,0,76175.67,2,0.8122
20/02/2024,2,10000,Rifiutata,12,12638.83,300.0,100000,0,27740.44,1,0.7912
20/02/2024,3,17000,Rifiutata,8,17014.5,550.0,100000,1,32806.37,1,0.9991
20/02/2024,4,21000,Rifiutata,7,19445.0,1000.0,100000,5,34391.14,1,1.08
20/02/2024,5,29000,Rifiutata,5,26221.0,1000.0,100000,5,38634.97,1,1.106
20/02/2024,6,9000,Rifiutata,4,7776.25,550.0,30000,5,12836.76,0,1.1574
21/02/2024,1,36000,Rifiutata,15,40125.33,10000.0,300000,0,75542.78,4,0.8972
21/02/2024,2,23000,Rifiutata,9,29633.33,10000.0,100000,0,35313.01,3,0.7762
21/02/2024,3,9000,Rifiutata,7,13100.0,1000.0,50000,0,18126.62,1,0.687
21/02/2024,4,13000,Rifiutata,4,15250.0,5500.0,50000,0,20437.4,1,0.8525
21/02/2024,5,23000,Rifiutata,3,20333.33,10000.0,50000,1000,21296.84,1,1.1311
22/02/2024,1,32000,Rifiutata,15,42445.07,1000.0,300000,0,85577.45,3,0.7539
22/02/2024,2,20000,Rifiutata,9,36839.56,1000.0,300000,1,93176.58,1,0.5429
22/02/2024,3,25000,Rifiutata,7,45936.43,1000.0,300000,5,103840.65,1,0.5442
22/02/2024,4,31000,Accettata,6,53509.17,3000.0,300000,5,110356.71,1,0.5793
23/02/2024,1,31000,Rifiutata,15,33772.73,10000.0,200000,1,53333.72,4,0.9179
23/02/2024,2,25000,Rifiutata,9,29612.78,10000.0,100000,5,35330.19,3,0.8442
23/02/2024,3,16000,Rifiutata,5,32202.0,10000.0,100000,10,38512.74,2,0.4969
23/02/2024,4,35000,Rifiutata,3,37000.0,10000.0,100000,1000,44698.99,1,0.9459
25/02/2024,1,41000,Rifiutata,15,51079.0,5000.0,300000,0,85494.66,5,0.8027
25/02/2024,2,22000,Rifiutata,9,34573.89,1000.0,200000,5,62798.47,2,0.6363
25/02/2024,3,22000,Rifiutata,6,46026.67,550.0,200000,10,74066.74,2,0.478
25/02/2024,4,33000,Rifiutata,4,50277.5,550.0,200000,10,86443.19,1,0.6564
25/02/2024,5,55000,Accettata,3,67033.33,1000.0,200000,100,94022.35,1,0.8205
26/02/2024,1,33000,Rifiutata,15,31452.73,1000.0,200000,0,54352.05,4,1.0492
26/02/2024,2,39000,Rifiutata,12,39298.42,7500.0,200000,1,58179.94,4,0.9924
26/02/2024,3,9000,Rifiutata,9,10731.22,1000.0,50000,1,16632.71,1,0.8387
26/02/2024,4,13000,Rifiutata,4,15251.25,5500.0,50000,5,20436.47,1,0.8524
27/02/2024,1,40000,Rifiutata,15,47789.07,1000.0,300000,1,86417.35,4,0.837
27/02/2024,2,32000,Rifiutata,9,47423.33,1000.0,300000,10,94390.18,2,0.6748
27/02/2024,3,32000,Rifiutata,7,45972.86,500.0,300000,10,103927.7,1,0.6961
27/02/2024,4,40000,Rifiutata,6,53551.67,600.0,300000,10,110449.36,1,0.7469
27/02/2024,5,32000,Rifiutata,5,60262.0,200.0,300000,10,119869.52,1,0.531
27/02/2024,6,45000,Accettata,4,75302.5,600.0,300000,10,129729.69,1,0.5976
28/02/2024,1,42000,Rifiutata,15,52445.33,10000.0,300000,0,84899.38,5,0.8008
28/02/2024,2,30000,Rifiutata,9,36288.89,5000.0,200000,0,62293.49,2,0.8267
28/02/2024,3,10000,Rifiutata,8,15825.0,3000.0,75000,0,24425.44,1,0.6319
28/02/2024,4,14000,Rifiutata,4,11625.0,8000.0,30000,500,12100.49,0,1.2043
17/05/2024,1,46000,Rifiutata,15,53742.0,15000.0,300000,0,84242.89,5,0.8559
17/05/2024,2,50000,Rifiutata,12,64669.17,22500.0,300000,0,90871.15,5,0.7732
17/05/2024,3,55000,Rifiutata,9,79002.22,30000.0,300000,0,100210.25,4,0.6962
17/05/2024,4,61000,Rifiutata,7,96574.29,75000.0,300000,0,107131.33,4,0.6316
17/05/2024,5,150000,Rifiutata,3,125333.33,75000.0,300000,1000,127149.08,2,1.1968
29/02/2024,1,43000,Rifiutata,15,50795.33,5000.0,300000,5,85614.96,5,0.8465
29/02/2024,2,25000,Rifiutata,9,31319.44,1000.0,200000,75,61619.93,2,0.7982
29/02/2024,3,9000,Rifiutata,7,11685.71,1000.0,50000,100,17093.89,1,0.7702
16/03/2024,1,42000,Rifiutata,15,45458.07,1000.0,300000,0,86353.83,4,0.9239
16/03/2024,2,34000,Rifiutata,9,57402.22,1000.0,300000,0,105657.27,2,0.5923
16/03/2024,3,22000,Rifiutata,7,45217.14,1000.0,300000,0,104070.11,1,0.4865
16/03/2024,4,30000,Rifiutata,5,61300.0,1000.0,300000,0,119363.14,1,0.4894
16/03/2024,5,42000,Rifiutata,4,75375.0,750.0,300000,0,129687.79,1,0.5572
16/03/2024,6,72000,Accettata,3,100500.0,1000.0,300000,500,141067.95,1,0.7164
17/03/2024,1,45000,Rifiutata,15,49783.73,5000.0,300000,0,85634.88,4,0.9039
17/03/2024,2,45000,Rifiutata,9,67950.56,15000.0,300000,5,102575.58,3,0.6622
17/03/2024,3,45000,Rifiutata,6,51841.67,17500.0,200000,50,70858.61,2,0.868
17/03/2024,4,5000,Rifiutata,4,9012.5,8000.0,20000,50,8676.14,0,0.5548
18/03/2024,1,22000,Rifiutata,12,36808.42,750.0,300000,1,83861.47,2,0.5977
18/03/2024,2,8000,,8,14525.12,87.5,100000,1,32669.14,1,0.5508
18/03/2024,3,34000,Accettata,3,33668.33,1000.0,100000,5,46905.33,1,1.0099
19/03/2024,1,15000,Rifiutata,15,17116.73,500.0,100000,0,30639.33,3,0.8763
19/03/2024,2,9000,Rifiutata,12,11806.33,300.0,75000,0,23414.01,2,0.7623
19/03/2024,3,15000,Rifiutata,7,18024.43,100.0,75000,1,28913.3,2,0.8322
19/03/2024,4,31000,Rifiutata,4,31500.25,25500.0,75000,1,32237.16,2,0.9841
20/03/2024,1,38000,Rifiutata,15,47447.33,5000.0,300000,5,85628.08,4,0.8009
20/03/2024,2,30000,Rifiutata,9,43512.78,1000.0,300000,5,92171.94,2,0.6895
20/03/2024,3,7000,Rifiutata,8,11451.88,750.0,50000,5,17507.49,1,0.6113
21/03/2024,1,40000,Rifiutata,15,46097.4,200.0,300000,1,87130.75,4,0.8677
21/03/2024,2,25000,Rifiutata,7,43039.29,200.0,200000,5,72736.69,2,0.5809
21/03/2024,3,30000,Rifiutata,6,50204.17,600.0,200000,5,76243.35,2,0.5976
21/03/2024,4,35000,Rifiutata,5,60241.0,1000.0,200000,5,79819.98,2,0.581
21/03/2024,5,40000,Rifiutata,4,75300.0,50500.0,200000,200,82644.84,2,0.5312
21/03/2024,6,30000,Accettata,3,33733.33,1000.0,100000,200,46858.75,1,0.8893
22/03/2024,1,22000,Rifiutata,15,24462.73,500.0,200000,1,51510.47,3,0.8993
22/03/2024,2,30000,Rifiutata,9,30702.89,1000.0,200000,1,61861.89,2,0.9771
22/03/2024,3,19000,Rifiutata,7,32332.14,1000.0,200000,50,68773.41,1,0.5877
22/03/2024,4,35000,Accettata,4,51518.75,3000.0,200000,75,85745.67,1,0.6794
23/03/2024,1,37000,Rifiutata,15,44129.73,1000.0,300000,1,86425.23,3,0.8384
23/03/2024,2,20000,Rifiutata,9,38463.44,1000.0,300000,1,92922.36,1,0.52
23/03/2024,3,32000,Rifiutata,6,56020.0,3000.0,300000,20,109617.95,1,0.5712
23/03/2024,4,40000,Rifiutata,5,67220.0,5000.0,300000,100,116904.55,1,0.5951
23/03/2024,5,52000,Accettata,4,82775.0,15500.0,300000,100,125990.28,1,0.6282
25/03/2024,1,39000,Rifiutata,15,48419.07,1000.0,300000,0,86259.28,4,0.8055
25/03/2024,2,30000,Rifiutata,9,60691.22,1000.0,300000,0,104336.65,2,0.4943
25/03/2024,3,15000,Rifiutata,6,36003.5,510.0,200000,0,73539.66,1,0.4166
25/03/2024,4,30000,Rifiutata,4,50250.25,500.5,200000,0,86459.02,1,0.597
26/03/2024,1,33000,Rifiutata,12,38057.58,750.0,200000,1,58910.74,4,0.8671
26/03/2024,2,39000,Rifiutata,9,47398.89,1000.0,200000,5,64898.52,4,0.8228
26/03/2024,3,19000,Rifiutata,8,28323.75,750.0,100000,5,38256.33,3,0.6708
26/03/2024,4,33000,Rifiutata,5,35217.0,1000.0,100000,10,43416.17,2,0.937
26/03/2024,5,39000,Rifiutata,4,44002.5,38000.0,100000,10,44387.84,2,0.8863
18/05/2024,1,28000,Rifiutata,15,42109.07,5000.0,300000,1,84677.29,3,0.6649
18/05/2024,2,28000,Rifiutata,12,34678.0,3000.0,300000,1,81391.67,2,0.8074
18/05/2024,3,35000,Rifiutata,9,46234.44,10000.0,300000,10,91096.65,2,0.757
18/05/2024,4,15000,Accettata,8,14513.75,7500.0,50000,10,16736.26,1,1.0335
02/03/2024,1,30000,Rifiutata,15,30455.4,5000.0,200000,1,53766.98,3,0.985
02/03/2024,2,40000,Rifiutata,9,47369.44,20000.0,200000,50,63884.68,3,0.8444
02/03/2024,3,40000,Rifiutata,7,46607.14,20000.0,200000,50,67316.38,2,0.8582
02/03/2024,4,45000,Rifiutata,6,54366.67,25000.0,200000,200,69751.5,2,0.8277
02/03/2024,5,53000,Rifiutata,5,65200.0,30000.0,200000,1000,71653.05,2,0.8129
03/03/2024,1,44000,Rifiutata,15,52423.33,10000.0,300000,5,84912.88,5,0.8393
03/03/2024,2,44000,Rifiutata,9,59563.89,15000.0,300000,75,91253.79,3,0.7387
03/03/2024,3,51000,Rifiutata,8,65759.38,22500.0,300000,75,94987.92,3,0.7756
03/03/2024,4,80000,Accettata,4,94018.75,38000.0,300000,75,122747.61,2,0.8509
04/03/2024,1,25000,Rifiutata,12,25108.42,12500.0,100000,0,31866.73,3,0.9957
04/03/2024,2,30000,Rifiutata,9,24011.22,15000.0,100000,0,31335.39,2,1.2494
04/03/2024,3,20000,Rifiutata,6,24333.5,8000.0,100000,0,35527.65,1,0.8219
04/03/2024,4,30000,Rifiutata,5,29200.0,15000.0,100000,0,37048.08,1,1.0274
04/03/2024,5,25000,Rifiutata,4,29000.0,8000.0,100000,0,41418.59,1,0.8621
04/03/2024,6,50000,Accettata,3,38666.67,15000.0,100000,1000,43744.21,1,1.2931
05/03/2024,1,41000,Rifiutata,15,48742.73,10000.0,300000,1,85054.18,4,0.8412
05/03/2024,2,50000,Rifiutata,9,76778.33,20000.0,300000,5,100053.76,4,0.6512
05/03/2024,3,55000,Rifiutata,6,81000.0,35000.0,300000,1000,103085.72,3,0.679
05/03/2024,4,55000,Rifiutata,5,87200.0,20000.0,300000,1000,111898.88,2,0.6307
05/03/2024,5,72000,Rifiutata,4,105250.0,60000.0,300000,1000,118417.43,2,0.6841
05/03/2024,6,60000,Accettata,3,40333.33,20000.0,100000,1000,42897.81,1,1.4876
06/03/2024,1,22000,Rifiutata,15,20422.4,5000.0,100000,0,30022.14,3,1.0772
06/03/2024,2,14000,Rifiutata,12,15528.0,600.0,75000,0,23509.97,2,0.9016
06/03/2024,3,22000,Rifiutata,7,20897.86,1000.0,75000,10,27951.5,2,1.0527
06/03/2024,4,11000,Accettata,5,15257.0,200.0,75000,10,29873.62,1,0.721
07/03/2024,1,25000,Rifiutata,15,25453.4,1000.0,200000,0,52872.91,2,0.9822
07/03/2024,2,15000,Rifiutata,9,26842.22,1000.0,200000,0,61614.13,1,0.5588
07/03/2024,3,5000,Rifiutata,8,5197.5,750.0,20000,0,7375.16,0,0.962
08/03/2024,1,36000,Rifiutata,12,61762.08,17500.0,300000,0,91913.16,4,0.5829
08/03/2024,2,36000,Accettata,9,49002.22,20000.0,200000,0,62840.22,3,0.7347
08/03/2024,3,41000,Rifiutata,8,55127.5,25000.0,200000,20,64068.98,3,0.7437
08/03/2024,4,30000,Rifiutata,5,41204.0,30000.0,100000,20,40092.77,2,0.7281
08/03/2024,5,25000,Rifiutata,4,26505.0,15500.0,75000,20,30479.26,1,0.9432
09/03/2024,1,43000,Rifiutata,15,52772.4,15000.0,300000,1,84804.62,5,0.8148
09/03/2024,2,20000,Rifiutata,9,39062.89,500.0,300000,1,92836.82,1,0.512
09/03/2024,3,20000,Rifiutata,7,45937.86,500.0,300000,5,103943.15,1,0.4354
09/03/2024,4,25000,Rifiutata,6,53593.33,750.0,300000,10,110429.3,1,0.4665
09/03/2024,5,33000,Rifiutata,5,64310.0,1000.0,300000,50,118086.72,1,0.5131
09/03/2024,6,38000,Rifiutata,4,75387.5,750.0,300000,50,129680.52,1,0.5041
10/03/2024,1,19000,Rifiutata,15,15456.4,1000.0,100000,0,26542.79,2,1.2293
10/03/2024,2,5000,Rifiutata,12,10985.5,3000.0,50000,1,15008.67,1,0.4551
10/03/2024,3,15000,Rifiutata,6,14375.0,3000.0,50000,50,19088.39,1,1.0435
10/03/2024,4,15000,Rifiutata,4,14012.5,3000.0,50000,50,20860.26,1,1.0705
10/03/2024,5,25000,Rifiutata,3,18666.67,5000.0,50000,1000,22216.11,1,1.3393
11/03/2024,1,24000,Rifiutata,15,27451.73,1000.0,200000,0,53196.07,3,0.8743
11/03/2024,2,6000,Rifiutata,9,7391.78,500.0,50000,0,15400.23,1,0.8117
11/03/2024,3,10000,Rifiutata,4,15251.25,5500.0,50000,5,20436.47,1,0.6557
11/03/2024,4,20000,Accettata,3,17001.67,1000.0,50000,5,23336.88,1,1.1764
12/03/2024,1,34000,Rifiutata,15,45430.07,200.0,300000,0,86426.34,4,0.7484
12/03/2024,2,49000,Rifiutata,9,70117.22,10000.0,300000,0,103415.65,3,0.6988
12/03/2024,3,30000,Rifiutata,7,44436.43,1000.0,200000,0,71990.9,2,0.6751
12/03/2024,4,13000,Rifiutata,5,20211.0,50.0,100000,0,39896.32,1,0.6432
12/03/2024,5,20000,Rifiutata,4,25262.5,525.0,100000,0,43151.56,1,0.7917
13/03/2024,1,38000,Rifiutata,15,39077.07,5000.0,300000,0,75925.73,4,0.9724
