data,num_offerta,valore_atteso,val_offerta,ratio_offerta_va,ratio_predetto,offerta_stimata,errore_euro
08/05/2024,3,47640.62,30000,0.6297,0.6090040000000002,29013.0,-987.0
14/04/2024,4,76200.0,65000,0.853,0.6811939999999992,51907.0,-13093.0
18/03/2024,3,33668.33,34000,1.0099,1.026788,34570.0,570.0
03/04/2024,3,65152.62,46000,0.706,0.5685690000000001,37044.0,-8956.0
06/03/2024,4,15257.0,11000,0.721,0.8681169999999996,13245.0,2245.0
12/04/2024,3,20195.0,18000,0.8913,0.8195659999999996,16551.0,-1449.0
16/03/2024,1,45458.07,42000,0.9239,0.7902220000000001,35922.0,-6078.0
21/03/2024,4,60241.0,35000,0.581,0.7283520000000004,43877.0,8877.0
15/04/2024,4,17166.67,17000,0.9903,0.9988960000000005,17148.0,148.0
20/02/2024,2,12638.83,10000,0.7912,0.7086760000000001,8957.0,-1043.0
17/05/2024,4,96574.29,61000,0.6316,0.7103360000000002,68600.0,7600.0
17/03/2024,1,49783.73,45000,0.9039,0.8118580000000003,40417.0,-4583.0
27/03/2024,4,65220.0,41000,0.6286,0.5396450000000005,35196.0,-5804.0
21/02/2024,5,20333.33,23000,1.1311,1.3120609999999993,26679.0,3679.0
07/03/2024,3,5197.5,5000,0.962,0.7865970000000003,4088.0,-912.0
07/04/2024,5,63300.0,40000,0.6319,0.5721980000000001,36220.0,-3780.0
20/04/2024,1,51430.4,41000,0.7972,0.8149590000000001,41914.0,914.0
17/05/2024,3,79002.22,55000,0.6962,0.6550400000000005,51750.0,-3250.0
08/05/2024,1,45075.73,38000,0.843,0.776721,35011.0,-2989.0
19/05/2024,1,52452.4,44000,0.8389,0.8611870000000001,45171.0,1171.0
26/02/2024,1,31452.73,33000,1.0492,0.9069329999999991,28526.0,-4474.0
11/03/2024,3,15251.25,10000,0.6557,0.8394000000000009,12802.0,2802.0
22/04/2024,3,39337.5,35000,0.8897,0.7867549999999998,30949.0,-4051.0
15/02/2024,1,36430.4,30000,0.8235,0.7964530000000005,29015.0,-985.0
09/03/2024,5,64310.0,33000,0.5131,0.5234930000000001,33666.0,666.0
15/02/2024,7,79002.5,40000,0.5063,0.5790660000000003,45748.0,5748.0
13/03/2024,4,21210.2,18000,0.8486,0.8711719999999998,18478.0,478.0
08/03/2024,2,49002.22,36000,0.7347,0.8003769999999997,39220.0,3220.0
08/04/2024,1,12390.56,10000,0.8071,0.7804850000000007,9671.0,-329.0
12/02/2024,1,36785.73,30000,0.8155,0.7984930000000001,29373.0,-627.0
05/05/2024,2,10250.25,8000,0.7805,0.7709230000000004,7902.0,-98.0
29/02/2024,2,31319.44,25000,0.7982,0.8764129999999994,27449.0,2449.0
18/02/2024,2,42341.67,39000,0.9211,0.830183,35151.0,-3849.0
